DATE,PopEst,,,,,,,,
01-01-2011,311037,,,,,,,,
02-01-2011,311189,,,,,,,,
03-01-2011,311351,,,,,,,,
04-01-2011,311522,,,,,,,,
05-01-2011,311699,,,,,,,,
06-01-2011,311894,,,,,,,,
07-01-2011,312101,,,,,,,,
08-01-2011,312317,,,,,,,,
09-01-2011,312537,,,,,,,,
10-01-2011,312737,,,,,,,,
11-01-2011,312920,,,,,,,,
12-01-2011,313096,,,,,,,,
01-01-2012,313261,,,,,,,,
02-01-2012,313419,,,,,,,,
03-01-2012,313583,,,,,,,,
04-01-2012,313749,,,,,,,,
05-01-2012,313924,,,,,,,,
06-01-2012,314114,,,,,,,,
07-01-2012,314317,,,,,,,,
08-01-2012,314535,,,,,,,,
09-01-2012,314750,,,,,,,,
10-01-2012,314954,,,,,,,,
11-01-2012,315143,,,,,,,,
12-01-2012,315311,,,,,,,,
01-01-2013,315455,,,,,,,,
02-01-2013,315591,,,,,,,,
03-01-2013,315740,,,,,,,,
04-01-2013,315901,,,,,,,,
05-01-2013,316077,,,,,,,,
06-01-2013,316265,,,,,,,,
07-01-2013,316470,,,,,,,,
08-01-2013,316693,,,,,,,,
09-01-2013,316914,,,,,,,,
10-01-2013,317125,,,,,,,,
11-01-2013,317320,,,,,,,,
12-01-2013,317503,,,,,,,,
01-01-2014,317674,,,,,,,,
02-01-2014,317836,,,,,,,,
03-01-2014,318003,,,,,,,,
04-01-2014,318179,,,,,,,,
05-01-2014,318367,,,,,,,,
06-01-2014,318563,,,,,,,,
07-01-2014,318778,,,,,,,,
08-01-2014,319010,,,,,,,,
09-01-2014,319240,,,,,,,,
10-01-2014,319459,,,,,,,,
11-01-2014,319655,,,,,,,,
12-01-2014,319837,,,,,,,,
01-01-2015,320002,,,,,,,,
02-01-2015,320153,,,,,,,,
03-01-2015,320317,,,,,,,,
04-01-2015,320493,,,,,,,,
05-01-2015,320679,,,,,,,,
06-01-2015,320876,,,,,,,,
07-01-2015,321090,,,,,,,,
08-01-2015,321315,,,,,,,,
09-01-2015,321540,,,,,,,,
10-01-2015,321755,,,,,,,,
11-01-2015,321950,,,,,,,,
12-01-2015,322138,,,,,,,,
01-01-2016,322315,,,,,,,,
02-01-2016,322475,,,,,,,,
03-01-2016,322636,,,,,,,,
04-01-2016,322811,,,,,,,,
05-01-2016,322994,,,,,,,,
06-01-2016,323190,,,,,,,,
07-01-2016,323396,,,,,,,,
08-01-2016,323606,,,,,,,,
09-01-2016,323815,,,,,,,,
10-01-2016,324013,,,,,,,,
11-01-2016,324191,,,,,,,,
12-01-2016,324357,,,,,,,,
01-01-2017,324510,,,,,,,,
02-01-2017,324648,,,,,,,,
03-01-2017,324788,,,,,,,,
04-01-2017,324940,,,,,,,,
05-01-2017,325103,,,,,,,,
06-01-2017,325277,,,,,,,,
07-01-2017,325468,,,,,,,,
08-01-2017,325667,,,,,,,,
09-01-2017,325866,,,,,,,,
10-01-2017,326054,,,,,,,,
11-01-2017,326222,,,,,,,,
12-01-2017,326378,,,,,,,,
01-01-2018,326527,,,,,,,,
02-01-2018,326669,,,,,,,,
03-01-2018,326812,,,,,,,,
04-01-2018,326968,,,,,,,,
05-01-2018,327134,,,,,,,,
06-01-2018,327312,,,,,,,,
07-01-2018,327502,,,,,,,,
08-01-2018,327698,,,,,,,,
09-01-2018,327893,,,,,,,,
10-01-2018,328077,,,,,,,,
11-01-2018,328241,,,,,,,,
12-01-2018,328393,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
